company_name,ticker
Zomato Limited,ETERNAL.NS
Jio Financial Services Limited,JIOFIN.NS
Varun Beverages Limited,VBL.NS
Vedanta Limited,VEDL.NS
Pidilite Industries Limited,PIDILITIND.NS
DLF Limited,DLF.NS
Godrej Consumer Products Limited,GODREJCP.NS
Ambuja Cements Limited,AMBUJACEM.NS
Havells India Limited,HAVELLS.NS
Dabur India Limited,DABUR.NS
Siemens Limited,SIEMENS.NS
InterGlobe Aviation Limited,INDIGO.NS
Bank of Baroda,BANKBARODA.NS
Punjab National Bank,PNB.NS
Canara Bank,CANBK.NS
Indian Oil Corporation Limited,IOC.NS
GAIL (India) Limited,GAIL.NS
Bharat Electronics Limited,BEL.NS
Hindustan Aeronautics Limited,HAL.NS
Zydus Lifesciences Limited,ZYDUSLIFE.NS
Lupin Limited,LUPIN.NS
Aurobindo Pharma Limited,AUROPHARMA.NS
Torrent Pharmaceuticals Limited,TORNTPHARM.NS
Mankind Pharma Limited,MANKIND.NS
Info Edge (India) Limited,NAUKRI.NS
Indus Towers Limited,INDUSTOWER.NS
Motherson Sumi Wiring India Limited,MSUMI.NS
Samvardhana Motherson International Limited,MOTHERSON.NS
Bosch Limited,BOSCHLTD.NS
United Spirits Limited,MCDOWELL-N.NS
Colgate Palmolive (India) Limited,COLPAL.NS
Marico Limited,MARICO.NS
Page Industries Limited,PAGEIND.NS
Berger Paints India Limited,BERGEPAINT.NS
Voltas Limited,VOLTAS.NS
Bharat Forge Limited,BHARATFORG.NS
Cummins India Limited,CUMMINSIND.NS
ABB India Limited,ABB.NS
CG Power and Industrial Solutions Limited,CGPOWER.NS
Polycab India Limited,POLYCAB.NS
Dixon Technologies (India) Limited,DIXON.NS
Persistent Systems Limited,PERSISTENT.NS
Coforge Limited,COFORGE.NS
Mphasis Limited,MPHASIS.NS
Oracle Financial Services Software Limited,OFSS.NS
L&T Technology Services Limited,LTTS.NS
Max Healthcare Institute Limited,MAXHEALTH.NS
Fortis Healthcare Limited,FORTIS.NS
Global Health Limited,MEDANTA.NS
Lloyds Metals and Energy Limited,LLOYDSME.NS
NMDC Limited,NMDC.NS
Steel Authority of India Limited,SAIL.NS
Jindal Steel & Power Limited,JINDALSTEL.NS
JSW Energy Limited,JSWENERGY.NS
Tata Power Company Limited,TATAPOWER.NS
Adani Power Limited,ADANIPOWER.NS
Adani Total Gas Limited,ATGL.NS
Adani Energy Solutions Limited,ADANIENSOL.NS
Torrent Power Limited,TORNTPOWER.NS
NHPC Limited,NHPC.NS
SJVN Limited,SJVN.NS
Power Finance Corporation Limited,PFC.NS
REC Limited,RECLTD.NS
Indian Railway Finance Corporation Limited,IRFC.NS
Rail Vikas Nigam Limited,RVNL.NS
Indian Railway Catering & Tourism Corporation Limited,IRCTC.NS
IRB Infrastructure Developers Limited,IRB.NS
GMR Airports Limited,GMRAIRPORT.NS
Adani Wilmar Limited,AWL.NS
Patanjali Foods Limited,PATANJALI.NS
United Breweries Limited,UBL.NS
Radico Khaitan Limited,RADICO.NS
Emami Limited,EMAMILTD.NS
Godrej Properties Limited,GODREJPROP.NS
Oberoi Realty Limited,OBEROIRLTY.NS
Macrotech Developers Limited,LODHA.NS
Prestige Estates Projects Limited,PRESTIGE.NS
Phoenix Mills Limited,PHOENIXLTD.NS
Sobha Limited,SOBHA.NS
Bandhan Bank Limited,BANDHANBNK.NS
Federal Bank Limited,FEDERALBNK.NS
IDFC First Bank Limited,IDFCFIRSTB.NS
AU Small Finance Bank Limited,AUBANK.NS
Yes Bank Limited,YESBANK.NS
RBL Bank Limited,RBLBANK.NS
Union Bank of India,UNIONBANK.NS
Indian Bank,INDIANB.NS
Bank of India,BANKINDIA.NS
Central Bank of India,CENTRALBK.NS
IDBI Bank Limited,IDBI.NS
Muthoot Finance Limited,MUTHOOTFIN.NS
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
L&T Finance Limited,LTF.NS
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
Piramal Enterprises Limited,PEL.NS
PB Fintech Limited,POLICYBZR.NS
ICICI Lombard General Insurance Company Limited,ICICIGI.NS
ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
Max Financial Services Limited,MFSL.NS
General Insurance Corporation of India,GICRE.NS
New India Assurance Company Limited,NIACL.NS
Life Insurance Corporation of India,LICI.NS
CDSL (Central Depository Services India Limited),CDSL.NS
Multi Commodity Exchange of India Limited,MCX.NS
BSE Limited,BSE.NS
Angel One Limited,ANGELONE.NS
360 One Wam Limited,360ONE.NS
Nippon Life India Asset Management Limited,NAM-INDIA.NS
HDFC Asset Management Company Limited,HDFCAMC.NS
UTI Asset Management Company Limited,UTIAMC.NS
Aditya Birla Sun Life AMC Limited,ABSLAMC.NS
Suzlon Energy Limited,SUZLON.NS
KPIT Technologies Limited,KPITTECH.NS
Tata Elxsi Limited,TATAELXSI.NS
Honeywell Automation India Limited,HONAUT.NS
Schaeffler India Limited,SCHAEFFLER.NS
SKF India Limited,SKFINDIA.NS
Timken India Limited,TIMKEN.NS
Escorts Kubota Limited,ESCORTS.NS
Ashok Leyland Limited,ASHOKLEY.NS
TVS Motor Company Limited,TVSMOTOR.NS
Hero MotoCorp Limited,HEROMOTOCO.NS
Balkrishna Industries Limited,BALKRISIND.NS
MRF Limited,MRF.NS
Apollo Tyres Limited,APOLLOTYRE.NS
CEAT Limited,CEATLTD.NS
JK Tyre & Industries Limited,JKTYRE.NS
Exide Industries Limited,EXIDEIND.NS
Amara Raja Energy & Mobility Limited,ARE&M.NS
Sona BLW Precision Forgings Limited,SONACOMS.NS
Craftsman Automation Limited,CRAFTSMAN.NS
Endurance Technologies Limited,ENDURANCE.NS
Sundram Fasteners Limited,SUNDRMFAST.NS
Supreme Industries Limited,SUPREMEIND.NS
Astral Limited,ASTRAL.NS
Finolex Industries Limited,FINPIPE.NS
Finolex Cables Limited,FINCABLES.NS
KEI Industries Limited,KEI.NS
Whirlpool of India Limited,WHIRLPOOL.NS
Blue Star Limited,BLUESTARCO.NS
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
Amber Enterprises India Limited,AMBER.NS
V-Guard Industries Limited,VGUARD.NS
Solar Industries India Limited,SOLARINDS.NS
Deepak Nitrite Limited,DEEPAKNTR.NS
PI Industries Limited,PIIND.NS
UPL Limited,UPL.NS
SRF Limited,SRF.NS
Aarti Industries Limited,AARTIIND.NS
Navin Fluorine International Limited,NAVINFLUOR.NS
Tata Chemicals Limited,TATACHEM.NS
Gujarat Narmada Valley Fertilizers & Chemicals Limited,GNFC.NS
Coromandel International Limited,COROMANDEL.NS
Chambal Fertilisers and Chemicals Limited,CHAMBLFERT.NS
Sumitomo Chemical India Limited,SUMICHEM.NS
Linde India Limited,LINDEINDIA.NS
Gland Pharma Limited,GLAND.NS
Alkem Laboratories Limited,ALKEM.NS
Ipca Laboratories Limited,IPCALAB.NS
Laurus Labs Limited,LAURUSLABS.NS
Biocon Limited,BIOCON.NS
Abbott India Limited,ABBOTINDIA.NS
Pfizer Limited,PFIZER.NS
Glaxosmithkline Pharmaceuticals Limited,GLAXO.NS
Sanofi India Limited,SANOFI.NS
Ajanta Pharma Limited,AJANTPHARM.NS
J.B. Chemicals & Pharmaceuticals Limited,JBCHEPHARM.NS
Natco Pharma Limited,NATCOPHARM.NS
Piramal Pharma Limited,PPLPHARMA.NS
Syngene International Limited,SYNGENE.NS
Metropolis Healthcare Limited,METROPOLIS.NS
Dr. Lal PathLabs Limited,LALPATHLAB.NS
Vijaya Diagnostic Centre Limited,VIJAYA.NS
Narayana Hrudayalaya Limited,NH.NS
KIMS (Krishna Institute of Medical Sciences) Limited,KIMS.NS
Cera Sanitaryware Limited,CERA.NS
Kajaria Ceramics Limited,KAJARIACER.NS
Century Plyboards (India) Limited,CENTURYPLY.NS
Greenpanel Industries Limited,GREENPANEL.NS
Action Construction Equipment Limited,ACE.NS
Thermax Limited,THERMAX.NS
KEC International Limited,KEC.NS
Kalpataru Projects International Limited,KPIL.NS
Larsen & Toubro Infotech Limited,LTI.NS
Zensar Technologies Limited,ZENSARTECH.NS
Sonata Software Limited,SONATSOFTW.NS
Cyient Limited,CYIENT.NS
Firstsource Solutions Limited,FSL.NS
Tata Communications Limited,TATACOMM.NS
Route Mobile Limited,ROUTE.NS
Affle (India) Limited,AFFLE.NS
Nazara Technologies Limited,NAZARA.NS
Delhivery Limited,DELHIVERY.NS
Nykaa (FSN E-Commerce Ventures Limited),NYKAA.NS
PB Fintech,POLICYBZR.NS
One97 Communications Limited,PAYTM.NS
Honasa Consumer Limited,HONASA.NS
Go Digit General Insurance Limited,GODIGIT.NS
Swiggy Limited,SWIGGY.NS
Hyundai Motor India Limited,HYUNDAI.NS
Waaree Energies Limited,WAAREEENER.NS
Premier Energies Limited,PREMIERENE.NS
NTPC Green Energy Limited,NTPCGREEN.NS
Bharat Dynamics Limited,BDL.NS
Mazagon Dock Shipbuilders Limited,MAZDOCK.NS
Cochin Shipyard Limited,COCHINSHIP.NS
Garden Reach Shipbuilders & Engineers Limited,GRSE.NS
Hindustan Copper Limited,HINDCOPPER.NS
National Aluminium Company Limited,NATIONALUM.NS
Hindustan Zinc Limited,HINDZINC.NS
Jubilant FoodWorks Limited,JUBLFOOD.NS
Devyani International Limited,DEVYANI.NS
Sapphire Foods India Limited,SAPPHIRE.NS
Westlife Foodworld Limited,WESTLIFE.NS
Avenue Supermarts Limited,DMART.NS
V-Mart Retail Limited,VMART.NS
Aditya Birla Fashion and Retail Limited,ABFRL.NS
Shoppers Stop Limited,SHOPERSTOP.NS
Metro Brands Limited,METROBRAND.NS
Bata India Limited,BATAINDIA.NS
Relaxo Footwears Limited,RELAXO.NS
Campus Activewear Limited,CAMPUS.NS
